default.truck_mileage.truckid,default.truck_mileage.driverid,default.truck_mileage.rdate,default.truck_mileage.miles,default.truck_mileage.gas,default.truck_mileage.mpg
A3,A3,nov09,11732,3064,3.82898172324
A3,A3,oct09,9429,3064,3.07734986945
A3,A3,sep09,9025,3064,2.94549608355
A3,A3,aug09,9547,3064,3.1158616188
A3,A3,jul09,11267,3064,3.67721932115
A3,A3,jun09,11205,3064,3.6569843342
A3,A3,may09,9821,3064,3.20528720627
A3,A3,apr09,15224,3064,4.96866840731
A3,A3,mar09,11209,3064,3.65828981723
A3,A3,feb09,14203,3064,4.63544386423
A3,A3,jan09,10150,3064,3.31266318538
A4,A4,jun13,12687,2439,5.20172201722
A4,A4,may13,10680,2083,5.12722035526
A4,A4,apr13,11071,2599,4.25971527511
A4,A4,mar13,12302,2361,5.21050402372
A4,A4,feb13,8845,1816,4.87059471366
A4,A4,jan13,14130,2929,4.82417207238
A4,A4,dec12,12316,2702,4.55810510733
A4,A4,nov12,11999,2377,5.04795961296
A4,A4,oct12,14679,3455,4.2486251809
A4,A4,sep12,13835,3232,4.28063118812
A4,A4,aug12,13385,2966,4.51281186784
A4,A4,jul12,11443,2582,4.43183578621
A4,A4,jun12,9290,2092,4.44072657744
A4,A4,may12,11702,2129,5.49647721935
A4,A4,apr12,15261,3560,4.28679775281
A4,A4,mar12,11947,2155,5.54385150812
A4,A4,feb12,9782,2048,4.7763671875
A4,A4,jan12,11507,2639,4.36036377416
A4,A4,dec11,12157,2582,4.70836560806
A4,A4,nov11,10861,2021,5.37407224146
A4,A4,oct11,13122,2981,4.40187856424
A4,A4,sep11,11069,1971,5.61593099949
A4,A4,aug11,12312,2363,5.21032585696
A4,A4,jul11,10386,1897,5.47496046389
A4,A4,jun11,8714,2965,2.9389544688
A4,A4,may11,10235,2965,3.45193929174
A4,A4,apr11,10090,2965,3.40303541315
A4,A4,mar11,14085,2965,4.75042158516
A4,A4,feb11,14434,2965,4.86812816189
A4,A4,jan11,14256,2965,4.80809443508
A4,A4,dec10,9737,2965,3.28397976391
A4,A4,nov10,13118,2965,4.42428330523
A4,A4,oct10,9862,2965,3.32613827993
A4,A4,sep10,13570,2965,4.57672849916
A4,A4,aug10,14179,2965,4.78212478921
A4,A4,jul10,13989,2965,4.71804384486
A4,A4,jun10,12950,2965,4.3676222597
A4,A4,may10,11157,2965,3.7629005059
A4,A4,apr10,8673,2965,2.92512647555
A4,A4,mar10,15177,2965,5.11871838111
A4,A4,feb10,9579,2965,3.23069139966
A4,A4,jan10,14282,2965,4.81686340641
A4,A4,dec09,14325,2965,4.83136593592
A4,A4,nov09,12724,2965,4.29139966273
A4,A4,oct09,12773,2965,4.30792580101
A4,A4,sep09,8998,2965,3.0347386172
A4,A4,aug09,11910,2965,4.01686340641
A4,A4,jul09,12707,2965,4.28566610455
A4,A4,jun09,13465,2965,4.5413153457
A4,A4,may09,14419,2965,4.86306913997
A4,A4,apr09,14684,2965,4.95244519393
A4,A4,mar09,13090,2965,4.41483979764
A4,A4,feb09,15090,2965,5.08937605396
A4,A4,jan09,14249,2965,4.80573355818
A5,A5,jun13,10233,1825,5.60712328767
A5,A5,may13,14634,3450,4.24173913043
A5,A5,apr13,9281,2028,4.57642998028
A5,A5,mar13,13547,2790,4.85555555556
A5,A5,feb13,12990,3056,4.25065445026
A5,A5,jan13,13769,2713,5.07519351272
A5,A5,dec12,11423,2083,5.48391742679
A5,A5,nov12,12570,2547,4.93521790342
A5,A5,oct12,14204,2770,5.12779783394
A5,A5,sep12,15279,3122,4.89397821909
A5,A5,aug12,14473,2745,5.27249544627
A5,A5,jul12,11312,2453,4.61149612719
A5,A5,jun12,13969,2943,4.74651715936
A5,A5,may12,13422,2520,5.32619047619
A5,A5,apr12,14092,2619,5.38067964872
A5,A5,mar12,10749,2289,4.69593709043
A5,A5,feb12,10649,2410,4.41867219917
A5,A5,jan12,12587,2269,5.54737769943
A5,A5,dec11,8498,1736,4.89516129032
A5,A5,nov11,15339,2612,5.87251148545
A5,A5,oct11,10502,2099,5.00333492139
A5,A5,sep11,13867,3133,4.42610916055
A5,A5,aug11,11594,2613,4.43704554152
A5,A5,jul11,10571,2044,5.1717221135
A5,A5,jun11,13508,2310,5.84761904762
A5,A5,may11,15678,2310,6.78701298701
A5,A5,apr11,14318,2310,6.19826839827
A5,A5,mar11,14088,2310,6.0987012987
A5,A5,feb11,13217,2310,5.72164502165
A5,A5,jan11,12969,2310,5.61428571429
A5,A5,dec10,14377,2310,6.22380952381
A5,A5,nov10,11064,2310,4.78961038961
A5,A5,oct10,12704,2310,5.49956709957
A5,A5,sep10,10887,2310,4.71298701299
A5,A5,aug10,13956,2310,6.04155844156
A5,A5,jul10,14447,2310,6.25411255411
A5,A5,jun10,12146,2310,5.25800865801
A5,A5,may10,10212,2310,4.42077922078
A5,A5,apr10,10402,2310,4.50303030303
A5,A5,mar10,13295,2310,5.75541125541
A5,A5,feb10,15016,2310,6.50043290043
A5,A5,jan10,10200,2310,4.41558441558
A5,A5,dec09,9269,2310,4.01255411255
A5,A5,nov09,10744,2310,4.65108225108
A5,A5,oct09,10467,2310,4.53116883117
A5,A5,sep09,11495,2310,4.97619047619
A5,A5,aug09,15537,2310,6.72597402597
A5,A5,jul09,14058,2310,6.08571428571
A5,A5,jun09,13265,2310,5.74242424242
A5,A5,may09,12275,2310,5.31385281385
A5,A5,apr09,14289,2310,6.18571428571
A5,A5,mar09,13046,2310,5.64761904762
A5,A5,feb09,9582,2310,4.14805194805
A5,A5,jan09,10509,2310,4.54935064935
A6,A6,jun13,14488,2883,5.02532084634
A6,A6,may13,13317,3091,4.30831446134
A6,A6,apr13,10927,2161,5.05645534475
A6,A6,mar13,10972,1866,5.87995712755
A6,A6,feb13,14322,2983,4.80120683875
A6,A6,jan13,12956,2435,5.32073921971
A6,A6,dec12,14293,2596,5.50577812018
A6,A6,nov12,12593,2384,5.28229865772
A6,A6,oct12,11899,2690,4.42342007435
A6,A6,sep12,8693,1540,5.64480519481
A6,A6,aug12,13617,3045,4.47192118227
A6,A6,jul12,10513,2583,4.07007355788
A6,A6,jun12,11623,2164,5.37107208872
A6,A6,may12,13088,2274,5.75549692172
A6,A6,apr12,11661,2373,4.91403286979
A6,A6,mar12,11573,2232,5.18503584229
A6,A6,feb12,10744,2292,4.68760907504
A6,A6,jan12,13503,2849,4.73955773956
A6,A6,dec11,9839,1828,5.38238512035
A6,A6,nov11,9902,1996,4.96092184369
A6,A6,oct11,13531,2893,4.67715174559
A6,A6,sep11,13636,2322,5.87252368648
A6,A6,aug11,9734,1923,5.0618824753
A6,A6,jul11,11385,2767,4.1145645103
A6,A6,jun11,13574,1915,7.08825065274
A6,A6,may11,9115,1915,4.75979112272
A6,A6,apr11,9261,1915,4.83603133159
A6,A6,mar11,10725,1915,5.60052219321
A6,A6,feb11,13198,1915,6.89190600522
A6,A6,jan11,15596,1915,8.14412532637
A6,A6,dec10,13735,1915,7.17232375979
A6,A6,nov10,10332,1915,5.3953002611
A6,A6,oct10,12365,1915,6.45691906005
A6,A6,sep10,12739,1915,6.65221932115
A6,A6,aug10,13941,1915,7.27989556136
A6,A6,jul10,14539,1915,7.59216710183
A6,A6,jun10,9379,1915,4.89765013055
A6,A6,may10,8992,1915,4.6955613577
A6,A6,apr10,12684,1915,6.62349869452
A6,A6,mar10,10226,1915,5.33994778068
A6,A6,feb10,13618,1915,7.11122715405
A6,A6,jan10,12659,1915,6.61044386423
A6,A6,dec09,14266,1915,7.44960835509
A6,A6,nov09,14728,1915,7.6908616188
A6,A6,oct09,10162,1915,5.30652741514
A6,A6,sep09,11256,1915,5.87780678851
A6,A6,aug09,11260,1915,5.87989556136
A6,A6,jul09,12715,1915,6.63968668407
A6,A6,jun09,9193,1915,4.80052219321
A6,A6,may09,13367,1915,6.98015665796
A6,A6,apr09,11053,1915,5.77180156658
A6,A6,mar09,12388,1915,6.46892950392
A6,A6,feb09,9924,1915,5.18224543081
A6,A6,jan09,12680,1915,6.62140992167
A7,A7,jun13,10938,2231,4.90273419991
A7,A7,may13,12080,2142,5.639589169
A7,A7,apr13,13539,2346,5.77109974425
A7,A7,mar13,13453,2413,5.57521757149
A7,A7,feb13,12754,2444,5.21849427169
A7,A7,jan13,11147,2083,5.3514162266
A7,A7,dec12,11749,2442,4.81122031122
A7,A7,nov12,15816,2728,5.79765395894
A7,A7,oct12,13330,2369,5.62684677079
A7,A7,sep12,10803,2134,5.06232427366
A7,A7,aug12,9275,1863,4.97852925389
A7,A7,jul12,11223,2307,4.86475942783
A7,A7,jun12,13215,2367,5.58301647655
A7,A7,may12,8849,1812,4.88355408389
A7,A7,apr12,10577,2343,4.51429790866
A7,A7,mar12,13126,2614,5.02142310635
A7,A7,feb12,11993,2153,5.57036692987
A7,A7,jan12,12873,2623,4.90773922989
A7,A7,dec11,14063,2799,5.02429439085
A7,A7,nov11,9100,1611,5.6486654252
A7,A7,oct11,13889,2768,5.01770231214
A7,A7,sep11,10944,2152,5.08550185874
A7,A7,aug11,12789,2490,5.13614457831
A7,A7,jul11,14445,3161,4.5697564062
A7,A7,jun11,11350,2407,4.71541337765
A7,A7,may11,14389,2407,5.97798088907
A7,A7,apr11,14091,2407,5.85417532198
A7,A7,mar11,12740,2407,5.29289572081
A7,A7,feb11,9969,2407,4.14167012879
A7,A7,jan11,10815,2407,4.49314499377
A7,A7,dec10,11890,2407,4.93975903614
A7,A7,nov10,14014,2407,5.8221852929
A7,A7,oct10,12011,2407,4.99002908184
A7,A7,sep10,10561,2407,4.38761944329
A7,A7,aug10,10518,2407,4.3697548816
A7,A7,jul10,10741,2407,4.46240132946
A7,A7,jun10,10007,2407,4.15745741587
A7,A7,may10,13537,2407,5.62401329456
A7,A7,apr10,15374,2407,6.38720398837
A7,A7,mar10,14594,2407,6.06314914832
A7,A7,feb10,14774,2407,6.13793103448
A7,A7,jan10,14656,2407,6.08890735355
A7,A7,dec09,8060,2407,3.34856668052
A7,A7,nov09,12866,2407,5.34524304113
A7,A7,oct09,10530,2407,4.37474034067
A7,A7,sep09,9826,2407,4.08226007478
A7,A7,aug09,9790,2407,4.06730369755
A7,A7,jul09,10223,2407,4.24719567927
A7,A7,jun09,13132,2407,5.45575405069
A7,A7,may09,14683,2407,6.10012463648
A7,A7,apr09,12253,2407,5.09056917324
A7,A7,mar09,12422,2407,5.16078105526
A7,A7,feb09,9853,2407,4.09347735771
A7,A7,jan09,12148,2407,5.04694640631
A8,A8,jun13,11392,2280,4.99649122807
A8,A8,may13,8922,1834,4.86477644493
A8,A8,apr13,11422,2202,5.18710263397
A8,A8,mar13,13142,2478,5.30347054076
A8,A8,feb13,14133,2813,5.02417348027
A8,A8,jan13,10184,1819,5.59868059373
A8,A8,dec12,9660,1690,5.71597633136
A8,A8,nov12,12201,2359,5.17210682493
A8,A8,oct12,10650,2155,4.94199535963
A8,A8,sep12,14691,2952,4.97662601626
A8,A8,aug12,12366,2235,5.53288590604
A8,A8,jul12,13869,2759,5.02682131207
A8,A8,jun12,13025,2686,4.84921816828
A8,A8,may12,10661,1967,5.41992882562
A8,A8,apr12,9916,2125,4.66635294118
A8,A8,mar12,13638,2768,4.92702312139
A8,A8,feb12,13326,2402,5.54787676936
A8,A8,jan12,11289,2129,5.30248943166
A8,A8,dec11,13562,2859,4.74361664918
A8,A8,nov11,11060,1992,5.55220883534
A8,A8,oct11,11088,2446,4.53311529027
A8,A8,sep11,13408,2699,4.9677658392
A8,A8,aug11,10579,2308,4.58362218371
A8,A8,jul11,12385,2239,5.5314872711
A8,A8,jun11,11363,2501,4.54338264694
A8,A8,may11,12901,2501,5.15833666533
A8,A8,apr11,13806,2501,5.52019192323
A8,A8,mar11,13871,2501,5.54618152739
A8,A8,feb11,12250,2501,4.89804078369
A8,A8,jan11,12457,2501,4.98080767693
A8,A8,dec10,11351,2501,4.53858456617
A8,A8,nov10,13023,2501,5.20711715314
A8,A8,oct10,9836,2501,3.93282686925
A8,A8,sep10,13387,2501,5.35265893643
A8,A8,aug10,11932,2501,4.77089164334
A8,A8,jul10,9773,2501,3.90763694522
A8,A8,jun10,14765,2501,5.90363854458
A8,A8,may10,12951,2501,5.17832866853
A8,A8,apr10,13626,2501,5.44822071172
A8,A8,mar10,13724,2501,5.48740503798
A8,A8,feb10,12001,2501,4.79848060776
A8,A8,jan10,10313,2501,4.12355057977
A8,A8,dec09,10837,2501,4.33306677329
A8,A8,nov09,12641,2501,5.0543782487
A8,A8,oct09,10699,2501,4.27788884446
A8,A8,sep09,10444,2501,4.17592962815
A8,A8,aug09,12712,2501,5.08276689324
A8,A8,jul09,11768,2501,4.70531787285
A8,A8,jun09,12787,2501,5.11275489804
A8,A8,may09,11397,2501,4.55697720912
A8,A8,apr09,14780,2501,5.90963614554
A8,A8,mar09,10938,2501,4.37345061975
A8,A8,feb09,9773,2501,3.90763694522
A8,A8,jan09,15316,2501,6.12395041983
A9,A9,jun13,12601,2515,5.01033797217
A9,A9,may13,9707,1869,5.19368646335
A9,A9,apr13,11914,2479,4.80597014925
A9,A9,mar13,11531,2207,5.22473946534
A9,A9,feb13,12913,2342,5.51366353544
A9,A9,jan13,9648,1663,5.80156343957
A9,A9,dec12,12035,2497,4.81978374049
A9,A9,nov12,8453,1746,4.84135166094
A9,A9,oct12,13856,3082,4.49578195977
A9,A9,sep12,9692,1843,5.25881714596
A9,A9,aug12,13051,2720,4.79816176471
A9,A9,jul12,14617,2788,5.24282639885
A9,A9,jun12,14482,2755,5.25662431942
A9,A9,may12,10494,2314,4.53500432152
A9,A9,apr12,11086,2309,4.80121264617
A9,A9,mar12,15225,2887,5.27364045722
A9,A9,feb12,13531,2934,4.61179277437
A9,A9,jan12,12320,2384,5.1677852349
A9,A9,dec11,13974,2903,4.81364106097
A9,A9,nov11,15563,2861,5.43970639636
A9,A9,oct11,10620,2366,4.48858833474
A9,A9,sep11,12734,2258,5.63950398583
A9,A9,aug11,13800,3091,4.46457457134
A9,A9,jul11,14059,3227,4.35667802913
A9,A9,jun11,12302,2132,5.77016885553
A9,A9,may11,12309,2132,5.7734521576
A9,A9,apr11,13391,2132,6.28095684803
A9,A9,mar11,12058,2132,5.65572232645
A9,A9,feb11,14120,2132,6.62288930582
A9,A9,jan11,9893,2132,4.64024390244
A9,A9,dec10,14365,2132,6.73780487805
A9,A9,nov10,13410,2132,6.28986866792
A9,A9,oct10,10675,2132,5.00703564728
A9,A9,sep10,10776,2132,5.05440900563
A9,A9,aug10,10894,2132,5.10975609756
A9,A9,jul10,10624,2132,4.98311444653
A9,A9,jun10,10498,2132,4.92401500938
A9,A9,may10,8565,2132,4.01735459662
A9,A9,apr10,14132,2132,6.62851782364
A9,A9,mar10,13023,2132,6.10834896811
A9,A9,feb10,12539,2132,5.88133208255
A9,A9,jan10,13137,2132,6.16181988743
A9,A9,dec09,9953,2132,4.66838649156
A9,A9,nov09,13285,2132,6.23123827392
A9,A9,oct09,11823,2132,5.54549718574
A9,A9,sep09,12052,2132,5.65290806754
A9,A9,aug09,11633,2132,5.45637898687
A9,A9,jul09,11316,2132,5.30769230769
A9,A9,jun09,14756,2132,6.92120075047
A9,A9,may09,11811,2132,5.53986866792
A9,A9,apr09,14841,2132,6.96106941839
A9,A9,mar09,12615,2132,5.9169793621
A9,A9,feb09,13636,2132,6.39587242026
A9,A9,jan09,13118,2132,6.15290806754
A10,A10,jun13,13699,2583,5.30352303523
A10,A10,may13,11583,2077,5.57679345209
A10,A10,apr13,12833,2473,5.1892438334
A10,A10,mar13,13168,2436,5.40558292282
A10,A10,feb13,12751,2622,4.86308161709
A10,A10,jan13,9391,2104,4.46340304183
A10,A10,dec12,11971,2472,4.84263754045
A10,A10,nov12,14276,2762,5.16871832006
A10,A10,oct12,11132,2298,4.84421235857
A10,A10,sep12,13841,2988,4.63219544846
A10,A10,aug12,14740,3110,4.73954983923
A10,A10,jul12,15351,3106,4.94236960721
A10,A10,jun12,11393,2332,4.88550600343
A10,A10,may12,10254,1887,5.43402225755
A10,A10,apr12,13728,2881,4.76501214856
A10,A10,mar12,9443,2056,4.59289883268
A10,A10,feb12,11215,2156,5.20176252319
A10,A10,jan12,14100,2763,5.10314875136
A10,A10,dec11,11466,2758,4.15736040609
A10,A10,nov11,12994,2911,4.46375815871
A10,A10,oct11,10937,2480,4.41008064516
A10,A10,sep11,11992,2288,5.24125874126
A10,A10,aug11,11840,2438,4.85643970468
A10,A10,jul11,10210,2041,5.00244977952
A10,A10,jun11,13328,2195,6.07198177677
A10,A10,may11,14832,2195,6.75717539863
A10,A10,apr11,12827,2195,5.8437357631
A10,A10,mar11,11954,2195,5.44601366743
A10,A10,feb11,11950,2195,5.44419134396
A10,A10,jan11,13292,2195,6.0555808656
A10,A10,dec10,14176,2195,6.4583143508
A10,A10,nov10,13526,2195,6.16218678815
A10,A10,oct10,12092,2195,5.50888382688
A10,A10,sep10,15044,2195,6.85375854214
A10,A10,aug10,11687,2195,5.32437357631
A10,A10,jul10,12447,2195,5.67061503417
A10,A10,jun10,12002,2195,5.46788154897
A10,A10,may10,15542,2195,7.08063781321
A10,A10,apr10,13672,2195,6.22870159453
A10,A10,mar10,13771,2195,6.27380410023
A10,A10,feb10,13568,2195,6.18132118451
A10,A10,jan10,10435,2195,4.75398633257
A10,A10,dec09,10993,2195,5.00820045558
A10,A10,nov09,11864,2195,5.40501138952
A10,A10,oct09,9031,2195,4.11435079727
A10,A10,sep09,11072,2195,5.04419134396
A10,A10,aug09,14045,2195,6.3986332574
A10,A10,jul09,14839,2195,6.76036446469
A10,A10,jun09,12902,2195,5.87790432802
A10,A10,may09,9940,2195,4.5284738041
A10,A10,apr09,13086,2195,5.96173120729
A10,A10,mar09,12030,2195,5.48063781321
A10,A10,feb09,14468,2195,6.59134396355
A10,A10,jan09,10654,2195,4.85375854214
A11,A11,jun13,12447,2596,4.79468412943
A11,A11,may13,15726,3145,5.00031796502
A11,A11,apr13,11461,2512,4.5625
A11,A11,mar13,14566,3360,4.33511904762
A11,A11,feb13,11557,2524,4.57884310618
A11,A11,jan13,15319,3025,5.0641322314
A11,A11,dec12,15166,2951,5.13927482209
A11,A11,nov12,12052,2725,4.42275229358
A11,A11,oct12,8542,1951,4.3782675551
A11,A11,sep12,10500,2105,4.98812351544
A11,A11,aug12,9041,1990,4.5432160804
A11,A11,jul12,9225,1619,5.69796170476
A11,A11,jun12,11125,2407,4.62193601994
A11,A11,may12,11534,2713,4.25138223369
A11,A11,apr12,9663,2203,4.38629142079
A11,A11,mar12,14289,2889,4.94600207684
A11,A11,feb12,11401,2267,5.02911336568
A11,A11,jan12,11482,2132,5.38555347092
A11,A11,dec11,12973,2740,4.73467153285
A11,A11,nov11,13168,2848,4.62359550562
A11,A11,oct11,9434,1807,5.22080796901
A11,A11,sep11,13087,2588,5.05680061824
A11,A11,aug11,11873,2572,4.61625194401
A11,A11,jul11,12903,2693,4.79131080579
A11,A11,jun11,13661,2000,6.8305
A11,A11,may11,11651,2000,5.8255
A11,A11,apr11,15536,2000,7.768
A11,A11,mar11,14425,2000,7.2125
A11,A11,feb11,11662,2000,5.831
A11,A11,jan11,12083,2000,6.0415
A11,A11,dec10,14091,2000,7.0455
A11,A11,nov10,10043,2000,5.0215
A11,A11,oct10,13763,2000,6.8815
A11,A11,sep10,9530,2000,4.765
A11,A11,aug10,13776,2000,6.888
A11,A11,jul10,11376,2000,5.688
A11,A11,jun10,13342,2000,6.671
A11,A11,may10,14164,2000,7.082
A11,A11,apr10,12957,2000,6.4785
A11,A11,mar10,12238,2000,6.119
A11,A11,feb10,11416,2000,5.708
A11,A11,jan10,9169,2000,4.5845
A11,A11,dec09,12965,2000,6.4825
A11,A11,nov09,12525,2000,6.2625
A11,A11,oct09,10043,2000,5.0215
A11,A11,sep09,10513,2000,5.2565
A11,A11,aug09,10926,2000,5.463
A11,A11,jul09,9131,2000,4.5655
A11,A11,jun09,15373,2000,7.6865
A11,A11,may09,13924,2000,6.962
A11,A11,apr09,12919,2000,6.4595
A11,A11,mar09,10660,2000,5.33
A11,A11,feb09,8571,2000,4.2855
A11,A11,jan09,11485,2000,5.7425
A12,A12,jun13,10006,2055,4.86909975669
A12,A12,may13,10307,2187,4.71284865112
A12,A12,apr13,13044,2473,5.2745653053
A12,A12,mar13,12229,2716,4.50257731959
A12,A12,feb13,14624,2539,5.75974793226
A12,A12,jan13,12995,2580,5.03682170543
A12,A12,dec12,11159,2376,4.69654882155
A12,A12,nov12,13078,2677,4.88531938737
A12,A12,oct12,11374,2535,4.48678500986
A12,A12,sep12,10864,2015,5.39156327543
A12,A12,aug12,11114,2031,5.47218119153
A12,A12,jul12,13682,2492,5.49036918138
A12,A12,jun12,10849,2047,5.29995114802
